latitude,longitude
52.5425036,13.41609522
52.499662,13.439218
52.50805284,13.42633355
52.51833617,13.3876133
52.503279,13.34445254
52.54170365,13.42198296
52.487675,13.351513
52.50469886,13.32490269
52.48675263,13.37860107
52.49694152,13.35317613
52.52881765,13.38778698
52.52116245,13.38686722
52.53551857,13.41707044
52.527748,13.400774
52.494838,13.35252
52.52520673,13.38747208
52.526005,13.39344
52.539833,13.35203955
52.498183,13.329605
52.52222479,13.40169514
attraction,Berlin
52.48505478,13.35333215
52.54756614,13.41160295
52.500625,13.421753
52.5474722,13.4109242
52.53176034,13.41173614
52.500888,13.420817
52.53947,13.350303
52.523154,13.40465069
52.5063659,13.3218672
52.49852529,13.428869
52.50129357,13.36391433
52.49408725,13.1978175
52.50729071,13.32125727
52.53134908,13.41219081
52.51298503,13.39140282
52.539982,13.405997
52.53911825,13.40761185
52.489349,13.392174
52.5300258,13.5000157
52.51068426,13.45668021
52.5074036,13.37274857
attraction,Berlin
attraction,Berlin
attraction,Berlin
52.511282,13.456896
52.49819736,13.34948709
52.49823401,13.32687947
52.527356,13.33863616
52.5318417,13.4343801
52.508866,13.46051377
52.51656689,13.38860035
52.49085332,13.38705519
52.51574425,13.45915318
52.49893303,13.30197197
52.54856901,13.42037033
52.534687,13.418941
52.499175,13.342921
attraction,Berlin
52.53283578,13.399993
52.54098287,13.40281606
52.531021,13.411935
52.4941597,13.5620973
52.5299712,13.500011
52.52079085,13.38493109
52.54115822,13.410799
52.4850988,13.4374201
52.53281879,13.39878723
52.52946299,13.39756157
52.54400916,13.42005334
52.48291886,13.36025967
52.567283,13.3149162
52.5337996,13.6010621
attraction,Berlin
52.516741,13.476315
52.49168345,13.39333314
52.52402872,13.38980198
52.4845672,13.39253247
52.50530647,13.46213579
52.4864788,13.4306119
52.4879669,13.4301071
52.530287,13.401783
52.540661,13.403173
52.4993182,13.445312
52.54187148,13.41553499
52.4905587,13.4262654
52.50107008,13.44520934
52.4836421,13.390732
52.50541834,13.36767587
52.52978179,13.39742012
52.51780977,13.4152844
52.52445219,13.40185253
52.5395395,13.4213991
52.49933879,13.35284487
52.52746742,13.40307104
52.43005962,13.17363739
52.51356352,13.39224815
52.47810652,13.19684756
52.50486565,13.33517075
52.52474677,13.39406133
52.52297775,13.40270877
52.5281553,13.40492921
52.50952824,13.37661624
52.51435356,13.39241982
52.52435511,13.29358578
52.52661363,13.43344688
52.44852947,13.33572865
attraction,Berlin
52.48257114,13.34055662
52.4850194,13.41897548
52.5777843,13.2451129
52.56909538,13.38859975
52.53907986,13.57611113
52.45192959,13.23243141
52.44277483,13.21723938
52.60409998,13.27434795
52.57347325,13.20504896
52.64492117,13.48572294
52.4383537,13.17707062
52.54308556,13.45990419
52.51259065,13.32193136
52.49128744,13.36060459
52.51681169,13.39381003
52.50177658,13.44570994
52.51637103,13.37197065
52.58780047,13.27423259
52.51432744,13.39175463
52.49971273,13.35315228
52.51742216,13.35291624
52.52054931,13.40664625
52.50466974,13.52360666
52.51393569,13.23185205
52.495846,13.41683865
52.4588598,13.28613997
52.48835901,13.39131823
52.532612,13.397217
52.49894202,13.39177608
52.481761,13.409348
52.5391313,13.32697392
52.41701302,13.62533209
52.422305,13.352158
attraction,Berlin
52.51635509,13.3787608
52.50013073,13.47129822
52.50509408,13.426365
52.4846358,13.35119963
52.52681678,13.44671963
52.5083509,13.585424
52.556584,13.384916
52.49922891,13.42596872
52.48747549,13.40966203
52.45375989,13.26890163
52.52011844,13.40404987
52.5361679,13.4124003
52.49992173,13.43095779
52.48211289,13.29091966
52.421452,13.175735
52.48939581,13.35320315
52.52603543,13.33942166
52.5476658,13.41621637
52.48502781,13.32433462
52.48892404,13.40800424
52.524494,13.350258
52.44977925,13.28307551
52.47150449,13.32847545
52.48415693,13.43637978
52.54311166,13.40538025
52.52801046,13.38418007
52.51460024,13.48663856
52.50181674,13.34279189
52.50459239,13.33608453
attraction,Berlin
52.51945736,13.29750275
52.52999467,13.37940574
attraction,Berlin
52.45434808,13.3813693
52.50265622,13.61401881
52.40673744,13.55828541
52.54570036,13.34509461
52.45583547,13.30546117
52.51002992,13.37172914
52.47205032,13.14142942
52.59286752,13.45580041
52.4864129,13.27139854
52.425328,13.463867
52.50695539,13.38194847
52.52464,13.395779
52.4981132,13.430678
52.50987484,13.36949713
52.48826366,13.36668197
52.5157769,13.22908401
52.51705154,13.47775193
52.493559,13.3879294
