ALABAMA
Alexander City
Anniston
Auburn
Birmingham
Decatur
Dothan
Florence
Gadsden
Huntsville
Mobile
Mobile
Montgomery
Selma-Craig
Talladega
Tuscaloosa
ALASKA
Anchorage
Barrow
Fairbanks
Juneau
Kodiak
Nome
ARIZONA
Douglas
Flagstaff
Fort Huachuca
Kingman
Nogales
Phoenix
Prescott
Tucson
Winslow
Yuma
ARKANSAS
Blytheville
Camden
El Dorado
Fayetteville
Fort Smith
Hot Springs
Jonesboro
Little Rock
Pine Bluff
Texarkana
CALIFORNIA
Bakersfield
Barstow
Blythe
Burbank
Chico
Concord
Covina
Crescent City
Downey
El Cajon
El Cerrito
Escondido
Eureka/Arcata
Fairfield-Trafis
Fresno
Hamilton
Laguna Beach
Livermore
Lompoc Vandenberg
Long Beach
Los Angeles
Los Angeles
Merced-Castle
Modesto
Monterey
Napa
Needles
Oakland
Oceanside
Ontario
Oxnard
Palmdale
Palm Springs
Pasadena
Petaluma
Pomona
Redding
Redlands
Richmond
Riverside-March
Sacramento
Salinas
San Bernadino Norton
San Diego
San Fernando
San Francisco
San Francisco
San Jose
San Louis Obispo
Santa Ana
Santa Barbara MAP
Santa Cruz
Santa Maria
Santa Monica CIC
Santa Paula
Santa Rosa
Stockton
Ukiah
Visalia
Yreka
Yuba City
COLORADO
Alamosa
Boulder
Colorado Springs
Denver
Durango
Fortllins
Grand Junction
Greeley
Lajunta
Leadville
Pueblo
Sterling
Trinidad
CONNECTICUT
Bridgeport
Hartford Brainard Field
New Haven
New London
Norwalk
Norwick
Waterbury
Widsor Locks Bradley Fld
DELAWARE
Dover
Wilmington
DISTRICT OFLUMBIA
Andrews
Washington National
FLORIDA
Belle Glade
Cape Kennedy
Daytona Beach
E Fort Lauderdale
Fort Myers
Fort Pierce
Gainesville
Jacksonville
Key West
Lakeland
Miami
Miami Beach
Ocala
Orlando
Panama City Tyndall
Pensacola
St. Augustine
St. Petersburg
Stanford
Sarasota
Tallahassee
Tampa
West Palm Beach
GEORGIA
Albany Turner
Americus
Athens
Atlanta
Augusta
Brunswick
Columbus Lawson
Dalton
Dublin
Gainesville
Griffin
LaGrange
Macon
Marietta Dobbins
Savannah
Valdosta-Moody
Waycross
HAWAII
Hilo
Honolulu
Kaneohe Bay MCAS
Wahiawa
IDAHO
Boise
Burley
Coeur DAlene
Idaho Falls
Lewiston
Moscow
Mountain Home
Pocatello
Twin Falls
ILLINOIS
Aurora
Belleville Scott
Bloomington
Carbondale
Champaign/Urbana
Chicago Midway
Chicago OHare
Chicago
Danville
Decatur
Dixon
Elgin
Freeport
Galesburg
Greenville
Joliet
Kankakee
La Salle/Peru
Macomb
Moline
Mt Vernon
Peoria
Quincy
Rantoul Chanute
Rockford
Springfield
Waukegan
INDIANA
Anderson
Bedford
Bloomington
Columbus Bakalar
Crawfordsville
Evansville
Fort Wayne
Goshen
Hobart
Huntington
Indianapolis
Jeffersonville
Kokomo
Lafayette
La Porte
Marion
Muncie
Peru Grissom
Richmond
Shelbyville
South Bend
Terre Haute
Valparaiso
Vincennes
IOWA
Ames
Burlington
Cedar Rapids
Clinton
Council Bluffs
Des Moines
Dubuque
Fort Dodge
Iowa City
Keokuk
Marshalltown
Mason City
Newton
Ottumwa
Sioux City
Waterloo
KANSAS
Atchison
Chanute
Dodge City
El Dorado
Emporia
Garden City
Goodland
Great Bend
Hutchinson
Liberal
Manhattan Ft Riley
Parsons
Russell
Salina
Topeka
Wichita
KENTUCKY
Ashland
Bowling Green
Corbin
Covington
Hopkinsville Ft Campbell
Lexington
Louisville
Madisonville
Owensboro
Paducah
LOUISIANA
Alexandria
Baton Rouge
Bogalusa
Houma
Lafayette
Lake Charles
Minden
Monroe
Natchitoches
New Orleans
Shreveport
MAINE
Augusta
Bangor Dow
Caribou
Lewiston
Millinocket
Portland
Waterville
MARYLAND
Baltimore
Baltimore
Cumberland
Frederick
Hagerstown
Salisbury
MASSACHUSETTS
Boston
Clinton
Fall River
Framingham
Gloucester
Greenfield
Lawrence
Lowell
New Bedford
Pittsfield
Springfield Westover
Taunton
Worcester
MICHIGAN
Adrian
Alpena
Battle Creek
Benton Harbor
Detroit
Escanaba
Flint
Grand Rapids
Holland
Jackson
Kalamazoo
Lansing
Marquette
Mt Pleasant
Muskegon
Pontiac
Port Huron
Saginaw
Sault Ste. Marie
Traverse City
Ypsilanti
MINNESOTA
Albert Lea
Alexandria
Bemidji
Brainerd
Duluth
Fairbault
Fergus Falls
International Falls
Mankato
Minneapolis/St. Paul
Rochester
St. Cloud
Virginia
Willmar
Winona
MISSISSIPPI
Biloxi--Keesler
Clarksdale
Columbus
Greenville
Greenwood
Hattiesburg
Jackson
Laurel
Mccomb
Meridian
Natchez
Tupelo
Vicksburg
MISSOURI
Cape Girardeau
Columbia
Farmington
Hannibal
Jefferson City
Joplin
Kansas City
Kirksville
Mexico
Moberly
Poplar Bluff
Rolla
St. Joseph
St. Louis
St. Louis
Sikeston
Sedalia--Whiteman
Sikeston
Springfield
MONTANA
Billings
Bozeman
Butte
Cut Bank
Glasgow
Glendive
Great Falls
Havre
Helena
Kalispell
Lewiston
Livingstown
Miles City
Missoula
NEBRASKA
Beatrice
Chadron
Columbus
Fremont
Grand Island
Hastings
Kearney
Lincoln
McCook
Norfolk
North Platte
Omaha
Scottsbluff
Sidney
NEVADA
Carson City
Elko
Ely
Las Vegas
Lovelock
Reno
Reno
Tonopah
Winnemucca
NEW HAMPSHIRE
Berlin
Claremont
Concord
Keene
Laconia
Manchester Grenier
Portsmouth Pease
NEW JERSEY
Atlantic City
Long Branch
Newark
New Brunswick
Paterson
Phillipsburg
Trenton
Vineland
NEW MEXICO
Holloman
Albuquerque
Artesia
Carlsbad
Clovis
Farmington
Gallup
Grants
Hobbs
Las Cruces
Los Alamos
Raton
Roswell Walker
Santa Fe
Silver City
Socorro
Tucumcari
NEW YORK
Albany
Albany
Auburn
Batavia
Binghamton
Buffalo
Cortland
Dunkirk
Elmira
Geneva
Glens Falls
Gloversville
Hornell
Ithaca
Jamestown
Kingston
Lockport
Massena
Newburgh Stewart
NYC-Central Park
NYC-Kennedy
NYC-La Guardia
Niagara Falls
Olean
Oneonta
Oswego
Plattsburg
Poughkeepsie
Rochester
Rome Griffiss
Schenectady
Suffolkunty
Syracuse
Utica
Watertown
NORTH CAROLINA
Asheville
Charlotte
Durham
Elizabeth City
Fayetteville Pope
Goldsboro Seymour-Johnson
Greensboro
Greenville
Henderson
Hickory
Jacksonville
Lumberton
New Bern
Raleigh/Durham
Rocky Mount
Wilmington
Winston-Salem
NORTH DAKOTA
Bismarck
Devils Lake
Dickinson
Fargo
Grand Forks
Jamestown
Minot
Williston
OHIO
Akron-Canton
Ashtabula
Athens
Bowling Green
Cambridge
Chillicothe
Cincinnati
Cleveland
Columbus
Dayton
Defiance
Findlay
Fremont
Hamilton
Lancaster
Lima
Mansfield
Marion
Middletown
Newark
Norwalk
Portsmouth
Sandusky
Springfield
Steubenville
Toledo
Warren
Wooster
Youngstown
Zanesville
OKLAHOMA
Ada
Altus
Ardmore
Bartlesville
Chickasha
Enid Vance
Lawton
McAlester
Muskogee
Norman
Oklahoma City
Ponca City
Seminole
Stillwater
Tulsa
Woodward
OREGON
Albany
Astoria
Baker
Bend
Corvallis
Eugene
Grants Pass
Klamath Falls
Medford
Pendleton
Portland
Portland
Roseburg
Salem
The Dalles
PENNSYLVANIA
Allentown
Altoona
Butler
Chambersburg
Erie
Harrisburg
Johnstown
Lancaster
Meadville
New Castle
Philadelphia
Pittsburgh
Pittsburgh
Reading
Scranton/Wilkes-Barre
Statellege
Sunbury
Uniontown
Warren
West Chester
Williamsport
York
RHODE ISLAND
Newport
Providence
SOUTH Carolina
Anderson
Charleston
Charleston
Columbia
Florence
Georgetown
Greenville
Greenwood
Orangeburg
Rock Hill
Spartanburg
Sumter Shaw
SOUTH DAKOTA
Aberdeen
Brookings
Huron
Mitchell
Pierre
Rapid City
Sioux Falls
Watertown
Yankton
TENNESSEE
Athens
Bristol-Tri City
Chattanooga
Clarksville
Columbia
Dyersburg
Greenville
Jackson
Knoxville
Memphis
Murfreesboro
Nashville
Tullahoma
TEXAS
Abilene
Alice
Amarillo
Austin
Bay City
Beaumont
Beeville
Big Spring
Brownsville
Brownwood
Bryan
Corpus Christi
Corsicana
Dallas
Del Rio Laughlin
Denton
Eagle Pass
El Paso
Fort Worth
Galveston
Greenville
Harlingen
Houston
Houston
Huntsville
Killeen Robert Gray AAF
Lamesa
Laredo
Longview
Lubbock
Lufkin
